# chimera	E	m
11123313	62	73
11123321	62	87
11123322	62	85
11123323	62	72
11123331	62	73
11123332	62	71
11123333	62	58
11131111	30	13
11131112	30	23
11131113	30	28
11131121	30	22
11131122	30	32
11131123	30	37
11131131	30	28
11131132	30	38
11131133	30	43
11131211	31	20
11131212	31	30
11131213	31	35
11131221	31	29
11131222	31	39
11131223	31	44
11131231	31	35
11131232	31	45
11131233	31	50
11131311	41	25
11131312	41	35
11131313	41	40
11131321	41	34
11131322	41	44
11131323	41	49
11131331	41	40
11131332	41	50
11131333	41	55
11132111	38	71
11132112	38	61
11132113	38	74
11132121	38	62
11132122	38	52
11132123	38	65
11132131	38	76
11132132	38	66
11132133	38	79
11132211	39	64
11132212	39	54
11132213	39	67
11132221	39	55
11132222	39	45
11132223	39	58
11132231	39	69
11132232	39	59
11132233	39	72
11132311	49	79
11132312	49	69
11132313	49	82
11132321	49	70
11132322	49	60
11132323	49	73
11132331	49	84
11132332	49	74
11132333	49	87
11133111	55	87
11133112	55	85
11133113	55	72
11133121	55	86
11133122	55	84
11133123	55	71
11133131	55	72
11133132	55	70
11133133	55	57
11133211	57	90
11133212	57	88
11133213	57	75
11133221	57	89
11133222	57	87
11133223	57	74
11133231	57	75
11133232	57	73
11133233	57	60
11133311	56	75
11133312	56	73
11133313	56	60
11133321	56	74
11133322	56	72
11133323	56	59
11133331	56	60
11133332	56	58
11133333	56	45
11211111	11	6
11211112	11	16
11211113	11	21
11211121	11	15
11211122	11	25
11211123	11	30
11211131	11	21
11211132	11	31
11211133	11	36
11211211	12	13
11211212	12	23
11211213	12	28
11211221	12	22
11211222	12	32
11211223	12	37
11211231	12	28
11211232	12	38
11211233	12	43
11211311	22	18
11211312	22	28
11211313	22	33
11211321	22	27
11211322	22	37
11211323	22	42
11211331	22	33
11211332	22	43
11211333	22	48
11212111	25	64
11212112	25	54
11212113	25	67
11212121	25	55
11212122	25	45
11212123	25	58
11212131	25	69
11212132	25	59
11212133	25	72
11212211	26	57
11212212	26	47
11212213	26	60
11212221	26	48
11212222	26	38
11212223	26	51
11212231	26	62
11212232	26	52
11212233	26	65
11212311	36	72
11212312	36	62
11212313	36	75
11212321	36	63
11212322	36	53
11212323	36	66
11212331	36	77
11212332	36	67
11212333	36	80
11213111	51	100
11213112	51	98
11213113	51	85
11213121	51	99
11213122	51	97
11213123	51	84
11213131	51	85
11213132	51	83
11213133	51	70
11213211	53	103
11213212	53	101
11213213	53	88
11213221	53	102
11213222	53	100
11213223	53	87
11213231	53	88
11213232	53	86
11213233	53	73
11213311	52	88
11213312	52	86
11213313	52	73
11213321	52	87
11213322	52	85
11213323	52	72
11213331	52	73
11213332	52	71
11213333	52	58
11221111	25	18
11221112	25	28
11221113	25	33
11221121	25	27
11221122	25	37
11221123	25	42
11221131	25	33
11221132	25	43
11221133	25	48
11221211	26	25
11221212	26	35
11221213	26	40
11221221	26	34
11221222	26	44
11221223	26	49
11221231	26	40
11221232	26	50
11221233	26	55
11221311	36	30
11221312	36	40
11221313	36	45
11221321	36	39
11221322	36	49
11221323	36	54
11221331	36	45
11221332	36	55
11221333	36	60
11222111	27	52
11222112	27	42
11222113	27	55
11222121	27	43
11222122	27	33
11222123	27	46
11222131	27	57
11222132	27	47
11222133	27	60
11222211	28	45
11222212	28	35
11222213	28	48
11222221	28	36
11222222	28	26
11222223	28	39
11222231	28	50
11222232	28	40
11222233	28	53
11222311	38	60
11222312	38	50
11222313	38	63
11222321	38	51
11222322	38	41
11222323	38	54
11222331	38	65
11222332	38	55
11222333	38	68
11223111	56	100
11223112	56	98
11223113	56	85
11223121	56	99
11223122	56	97
11223123	56	84
11223131	56	85
11223132	56	83
11223133	56	70
11223211	58	103
11223212	58	101
11223213	58	88
11223221	58	102
11223222	58	100
11223223	58	87
11223231	58	88
11223232	58	86
11223233	58	73
11223311	57	88
11223312	57	86
11223313	57	73
11223321	57	87
11223322	57	85
11223323	57	72
11223331	57	73
11223332	57	71
11223333	57	58
11231111	34	19
11231112	34	29
11231113	34	34
11231121	34	28
11231122	34	38
11231123	34	43
11231131	34	34
11231132	34	44
11231133	34	49
11231211	35	26
11231212	35	36
11231213	35	41
11231221	35	35
11231222	35	45
11231223	35	50
11231231	35	41
11231232	35	51
11231233	35	56
11231311	45	31
11231312	45	41
11231313	45	46
11231321	45	40
11231322	45	50
11231323	45	55
11231331	45	46
11231332	45	56
11231333	45	61
11232111	40	65
11232112	40	55
11232113	40	68
11232121	40	56
11232122	40	46
11232123	40	59
11232131	40	70
11232132	40	60
11232133	40	73
11232211	41	58
11232212	41	48
11232213	41	61
11232221	41	49
11232222	41	39
11232223	41	52
11232231	41	63
11232232	41	53
11232233	41	66
11232311	51	73
11232312	51	63
11232313	51	76
11232321	51	64
11232322	51	54
11232323	51	67
11232331	51	78
11232332	51	68
11232333	51	81
11233111	57	87
11233112	57	85
11233113	57	72
11233121	57	86
11233122	57	84
11233123	57	71
11233131	57	72
11233132	57	70
11233133	57	57
11233211	59	90
11233212	59	88
11233213	59	75
11233221	59	89
11233222	59	87
11233223	59	74
11233231	59	75
11233232	59	73
11233233	59	60
11233311	58	75
11233312	58	73
11233313	58	60
11233321	58	74
11233322	58	72
11233323	58	59
11233331	58	60
11233332	58	58
11233333	58	45
11311111	31	14
11311112	31	24
11311113	31	29
11311121	31	23
11311122	31	33
11311123	31	38
11311131	31	29
11311132	31	39
11311133	31	44
11311211	35	21
11311212	35	31
11311213	35	36
11311221	35	30
11311222	35	40
11311223	35	45
11311231	35	36
11311232	35	46
11311233	35	51
11311311	34	26
11311312	34	36
11311313	34	41
11311321	34	35
11311322	34	45
11311323	34	50
11311331	34	41
11311332	34	51
11311333	34	56
11312111	45	78
11312112	45	68
11312113	45	81
11312121	45	69
11312122	45	59
11312123	45	72
11312131	45	83
11312132	45	73
11312133	45	86
11312211	49	71
11312212	49	61
11312213	49	74
11312221	49	62
11312222	49	52
11312223	49	65
11312231	49	76
11312232	49	66
11312233	49	79
11312311	48	86
11312312	48	76
11312313	48	89
11312321	48	77
11312322	48	67
11312323	48	80
11312331	48	91
11312332	48	81
11312333	48	94
11313111	45	86
11313112	45	84
11313113	45	71
11313121	45	85
11313122	45	83
11313123	45	70
11313131	45	71
11313132	45	69
11313133	45	56
11313211	50	89
11313212	50	87
11313213	50	74
11313221	50	88
11313222	50	86
11313223	50	73
11313231	50	74
11313232	50	72
11313233	50	59
11313311	38	74
11313312	38	72
11313313	38	59
11313321	38	73
11313322	38	71
11313323	38	58
11313331	38	59
11313332	38	57
11313333	38	44
11321111	52	26
11321112	52	36
11321113	52	41
11321121	52	35
11321122	52	45
11321123	52	50
11321131	52	41
11321132	52	51
11321133	52	56
11321211	56	33
11321212	56	43
11321213	56	48
11321221	56	42
11321222	56	52
11321223	56	57
11321231	56	48
11321232	56	58
11321233	56	63
11321311	55	38
11321312	55	48
11321313	55	53
11321321	55	47
11321322	55	57
11321323	55	62
11321331	55	53
11321332	55	63
11321333	55	68
11322111	54	66
11322112	54	56
11322113	54	69
11322121	54	57
11322122	54	47
11322123	54	60
11322131	54	71
11322132	54	61
11322133	54	74
11322211	58	59
11322212	58	49
11322213	58	62
11322221	58	50
11322222	58	40
11322223	58	53
11322231	58	64
11322232	58	54
11322233	58	67
11322311	57	74
11322312	57	64
11322313	57	77
11322321	57	65
11322322	57	55
11322323	57	68
11322331	57	79
11322332	57	69
11322333	57	82
11323111	57	86
11323112	57	84
11323113	57	71
11323121	57	85
11323122	57	83
11323123	57	70
11323131	57	71
11323132	57	69
11323133	57	56
11323211	62	89
11323212	62	87
11323213	62	74
11323221	62	88
11323222	62	86
11323223	62	73
11323231	62	74
11323232	62	72
11323233	62	59
11323311	50	74
11323312	50	72
11323313	50	59
11323321	50	73
11323322	50	71
11323323	50	58
11323331	50	59
11323332	50	57
11323333	50	44
11331111	51	27
11331112	51	37
11331113	51	42
11331121	51	36
11331122	51	46
11331123	51	51
11331131	51	42
11331132	51	52
11331133	51	57
11331211	55	34
11331212	55	44
11331213	55	49
11331221	55	43
11331222	55	53
11331223	55	58
11331231	55	49
11331232	55	59
11331233	55	64
11331311	54	39
11331312	54	49
11331313	54	54
11331321	54	48
11331322	54	58
11331323	54	63
11331331	54	54
11331332	54	64
11331333	54	69
11332111	57	79
11332112	57	69
11332113	57	82
11332121	57	70
11332122	57	60
11332123	57	73
11332131	57	84
11332132	57	74
11332133	57	87
11332211	61	72
11332212	61	62
11332213	61	75
11332221	61	63
11332222	61	53
11332223	61	66
11332231	61	77
11332232	61	67
11332233	61	80
11332311	60	87
11332312	60	77
11332313	60	90
11332321	60	78
11332322	60	68
11332323	60	81
11332331	60	92
11332332	60	82
11332333	60	95
11333111	48	73
11333112	48	71
11333113	48	58
11333121	48	72
11333122	48	70
11333123	48	57
11333131	48	58
11333132	48	56
11333133	48	43
11333211	53	76
11333212	53	74
11333213	53	61
11333221	53	75
11333222	53	73
11333223	53	60
11333231	53	61
11333232	53	59
11333233	53	46
11333311	41	61
11333312	41	59
11333313	41	46
11333321	41	60
11333322	41	58
11333323	41	45
11333331	41	46
11333332	41	44
11333333	41	31
12111111	5	8
12111112	5	18
12111113	5	23
12111121	5	17
12111122	5	27
12111123	5	32
12111131	5	23
12111132	5	33
12111133	5	38
12111211	4	15
12111212	4	25
12111213	4	30
12111221	4	24
12111222	4	34
12111223	4	39
12111231	4	30
12111232	4	40
12111233	4	45
12111311	16	20
12111312	16	30
12111313	16	35
12111321	16	29
12111322	16	39
12111323	16	44
12111331	16	35
12111332	16	45
12111333	16	50
12112111	21	62
12112112	21	52
12112113	21	65
12112121	21	53
12112122	21	43
12112123	21	56
12112131	21	67
12112132	21	57
12112133	21	70
12112211	20	55
12112212	20	45
12112213	20	58
12112221	20	46
12112222	20	36
12112223	20	49
12112231	20	60
12112232	20	50
12112233	20	63
12112311	32	70
12112312	32	60
12112313	32	73
12112321	32	61
12112322	32	51
12112323	32	64
12112331	32	75
12112332	32	65
12112333	32	78
12113111	47	98
12113112	47	96
12113113	47	83
12113121	47	97
12113122	47	95
12113123	47	82
12113131	47	83
12113132	47	81
12113133	47	68
12113211	47	101
12113212	47	99
12113213	47	86
12113221	47	100
12113222	47	98
12113223	47	85
12113231	47	86
12113232	47	84
12113233	47	71
12113311	48	86
12113312	48	84
12113313	48	71
12113321	48	85
12113322	48	83
12113323	48	70
12113331	48	71
12113332	48	69
12113333	48	56
12121111	33	20
12121112	33	30
12121113	33	35
12121121	33	29
12121122	33	39
12121123	33	44
12121131	33	35
12121132	33	45
12121133	33	50
12121211	32	27
12121212	32	37
12121213	32	42
12121221	32	36
12121222	32	46
12121223	32	51
12121231	32	42
12121232	32	52
12121233	32	57
12121311	44	32
12121312	44	42
12121313	44	47
12121321	44	41
12121322	44	51
12121323	44	56
12121331	44	47
12121332	44	57
12121333	44	62
12122111	37	50
12122112	37	40
12122113	37	53
12122121	37	41
12122122	37	31
12122123	37	44
12122131	37	55
12122132	37	45
12122133	37	58
12122211	36	43
12122212	36	33
12122213	36	46
12122221	36	34
12122222	36	24
12122223	36	37
12122231	36	48
12122232	36	38
12122233	36	51
12122311	48	58
12122312	48	48
12122313	48	61
12122321	48	49
12122322	48	39
12122323	48	52
12122331	48	63
12122332	48	53
12122333	48	66
12123111	66	98
12123112	66	96
12123113	66	83
12123121	66	97
12123122	66	95
12123123	66	82
12123131	66	83
12123132	66	81
12123133	66	68
12123211	66	101
12123212	66	99
12123213	66	86
12123221	66	100
12123222	66	98
12123223	66	85
12123231	66	86
12123232	66	84
12123233	66	71
12123311	67	86
12123312	67	84
12123313	67	71
12123321	67	85
12123322	67	83
12123323	67	70
12123331	67	71
12123332	67	69
12123333	67	56
12131111	35	21
12131112	35	31
12131113	35	36
12131121	35	30
12131122	35	40
12131123	35	45
12131131	35	36
12131132	35	46
12131133	35	51
12131211	34	28
12131212	34	38
12131213	34	43
12131221	34	37
12131222	34	47
12131223	34	52
12131231	34	43
12131232	34	53
12131233	34	58
12131311	46	33
12131312	46	43
12131313	46	48
12131321	46	42
12131322	46	52
12131323	46	57
12131331	46	48
12131332	46	58
12131333	46	63
12132111	43	63
12132112	43	53
12132113	43	66
12132121	43	54
12132122	43	44
12132123	43	57
12132131	43	68
12132132	43	58
12132133	43	71
12132211	42	56
12132212	42	46
12132213	42	59
12132221	42	47
12132222	42	37
12132223	42	50
12132231	42	61
12132232	42	51
12132233	42	64
12132311	54	71
12132312	54	61
12132313	54	74
12132321	54	62
12132322	54	52
12132323	54	65
12132331	54	76
12132332	54	66
12132333	54	79
12133111	60	85
12133112	60	83
12133113	60	70
12133121	60	84
12133122	60	82
12133123	60	69
12133131	60	70
12133132	60	68
12133133	60	55
12133211	60	88
12133212	60	86
12133213	60	73
12133221	60	87
12133222	60	85
12133223	60	72
12133231	60	73
12133232	60	71
12133233	60	58
12133311	61	73
12133312	61	71
12133313	61	58
12133321	61	72
12133322	61	70
12133323	61	57
12133331	61	58
12133332	61	56
12133333	61	43
12211111	9	14
12211112	9	24
12211113	9	29
12211121	9	23
12211122	9	33
12211123	9	38
12211131	9	29
12211132	9	39
12211133	9	44
12211211	8	21
12211212	8	31
12211213	8	36
12211221	8	30
12211222	8	40
12211223	8	45
12211231	8	36
12211232	8	46
12211233	8	51
12211311	20	26
12211312	20	36
12211313	20	41
12211321	20	35
12211322	20	45
12211323	20	50
12211331	20	41
12211332	20	51
12211333	20	56
12212111	23	56
12212112	23	46
12212113	23	59
12212121	23	47
12212122	23	37
12212123	23	50
12212131	23	61
12212132	23	51
12212133	23	64
12212211	22	49
12212212	22	39
12212213	22	52
12212221	22	40
12212222	22	30
12212223	22	43
12212231	22	54
12212232	22	44
12212233	22	57
12212311	34	64
12212312	34	54
12212313	34	67
12212321	34	55
12212322	34	45
12212323	34	58
12212331	34	69
12212332	34	59
12212333	34	72
12213111	49	98
12213112	49	96
12213113	49	83
12213121	49	97
12213122	49	95
12213123	49	82
12213131	49	83
12213132	49	81
12213133	49	68
12213211	49	101
12213212	49	99
12213213	49	86
12213221	49	100
12213222	49	98
12213223	49	85
12213231	49	86
12213232	49	84
12213233	49	71
12213311	50	86
12213312	50	84
12213313	50	71
12213321	50	85
12213322	50	83
12213323	50	70
12213331	50	71
12213332	50	69
12213333	50	56
12221111	23	26
12221112	23	36
12221113	23	41
12221121	23	35
12221122	23	45
12221123	23	50
12221131	23	41
12221132	23	51
12221133	23	56
12221211	22	33
12221212	22	43
12221213	22	48
12221221	22	42
12221222	22	52
12221223	22	57
12221231	22	48
12221232	22	58
12221233	22	63
12221311	34	38
12221312	34	48
12221313	34	53
12221321	34	47
12221322	34	57
12221323	34	62
12221331	34	53
12221332	34	63
12221333	34	68
12222111	25	44
12222112	25	34
12222113	25	47
12222121	25	35
12222122	25	25
12222123	25	38
12222131	25	49
12222132	25	39
12222133	25	52
12222211	24	37
12222212	24	27
12222213	24	40
12222221	24	28
12222222	24	18
12222223	24	31
12222231	24	42
12222232	24	32
12222233	24	45
12222311	36	52
12222312	36	42
12222313	36	55
12222321	36	43
12222322	36	33
12222323	36	46
12222331	36	57
12222332	36	47
12222333	36	60
12223111	54	98
12223112	54	96
12223113	54	83
12223121	54	97
12223122	54	95
12223123	54	82
12223131	54	83
12223132	54	81
12223133	54	68
12223211	54	101
12223212	54	99
12223213	54	86
12223221	54	100
12223222	54	98
12223223	54	85
12223231	54	86
12223232	54	84
12223233	54	71
12223311	55	86
12223312	55	84
12223313	55	71
12223321	55	85
12223322	55	83
12223323	55	70
12223331	55	71
12223332	55	69
12223333	55	56
12231111	32	27
12231112	32	37
12231113	32	42
12231121	32	36
12231122	32	46
12231123	32	51
12231131	32	42
12231132	32	52
12231133	32	57
12231211	31	34
12231212	31	44
12231213	31	49
12231221	31	43
12231222	31	53
12231223	31	58
12231231	31	49
12231232	31	59
12231233	31	64
12231311	43	39
12231312	43	49
12231313	43	54
12231321	43	48
12231322	43	58
12231323	43	63
12231331	43	54
12231332	43	64
12231333	43	69
12232111	38	57
12232112	38	47
12232113	38	60
12232121	38	48
12232122	38	38
12232123	38	51
12232131	38	62
12232132	38	52
12232133	38	65
12232211	37	50
12232212	37	40
12232213	37	53
12232221	37	41
12232222	37	31
12232223	37	44
12232231	37	55
12232232	37	45
12232233	37	58
12232311	49	65
12232312	49	55
12232313	49	68
12232321	49	56
12232322	49	46
12232323	49	59
12232331	49	70
12232332	49	60
12232333	49	73
12233111	55	85
12233112	55	83
12233113	55	70
12233121	55	84
12233122	55	82
12233123	55	69
12233131	55	70
12233132	55	68
12233133	55	55
12233211	55	88
12233212	55	86
12233213	55	73
12233221	55	87
12233222	55	85
12233223	55	72
12233231	55	73
12233232	55	71
12233233	55	58
12233311	56	73
12233312	56	71
12233313	56	58
12233321	56	72
12233322	56	70
12233323	56	57
12233331	56	58
12233332	56	56
12233333	56	43
12311111	32	22
12311112	32	32
12311113	32	37
12311121	32	31
12311122	32	41
12311123	32	46
12311131	32	37
12311132	32	47
12311133	32	52
12311211	34	29
12311212	34	39
12311213	34	44
12311221	34	38
12311222	34	48
12311223	34	53
12311231	34	44
12311232	34	54
12311233	34	59
12311311	35	34
12311312	35	44
12311313	35	49
12311321	35	43
12311322	35	53
12311323	35	58
12311331	35	49
12311332	35	59
12311333	35	64
12312111	46	70
12312112	46	60
12312113	46	73
12312121	46	61
12312122	46	51
12312123	46	64
12312131	46	75
12312132	46	65
12312133	46	78
12312211	48	63
12312212	48	53
12312213	48	66
12312221	48	54
12312222	48	44
12312223	48	57
12312231	48	68
12312232	48	58
12312233	48	71
12312311	49	78
12312312	49	68
12312313	49	81
12312321	49	69
12312322	49	59
12312323	49	72
12312331	49	83
12312332	49	73
12312333	49	86
12313111	46	84
12313112	46	82
12313113	46	69
12313121	46	83
12313122	46	81
12313123	46	68
12313131	46	69
12313132	46	67
12313133	46	54
12313211	49	87
12313212	49	85
12313213	49	72
12313221	49	86
12313222	49	84
12313223	49	71
12313231	49	72
12313232	49	70
12313233	49	57
12313311	39	72
12313312	39	70
12313313	39	57
12313321	39	71
12313322	39	69
12313323	39	56
12313331	39	57
12313332	39	55
12313333	39	42
12321111	53	34
12321112	53	44
12321113	53	49
12321121	53	43
12321122	53	53
12321123	53	58
12321131	53	49
12321132	53	59
12321133	53	64
12321211	55	41
12321212	55	51
12321213	55	56
12321221	55	50
12321222	55	60
12321223	55	65
12321231	55	56
12321232	55	66
12321233	55	71
12321311	56	46
12321312	56	56
12321313	56	61
12321321	56	55
12321322	56	65
12321323	56	70
12321331	56	61
12321332	56	71
12321333	56	76
12322111	55	58
12322112	55	48
12322113	55	61
12322121	55	49
12322122	55	39
12322123	55	52
12322131	55	63
12322132	55	53
12322133	55	66
12322211	57	51
12322212	57	41
12322213	57	54
12322221	57	42
12322222	57	32
12322223	57	45
12322231	57	56
12322232	57	46
12322233	57	59
12322311	58	66
12322312	58	56
12322313	58	69
12322321	58	57
12322322	58	47
12322323	58	60
12322331	58	71
12322332	58	61
12322333	58	74
12323111	58	84
12323112	58	82
12323113	58	69
12323121	58	83
12323122	58	81
12323123	58	68
12323131	58	69
12323132	58	67
12323133	58	54
12323211	61	87
12323212	61	85
12323213	61	72
12323221	61	86
12323222	61	84
12323223	61	71
12323231	61	72
12323232	61	70
12323233	61	57
12323311	51	72
12323312	51	70
12323313	51	57
12323321	51	71
12323322	51	69
12323323	51	56
12323331	51	57
12323332	51	55
12323333	51	42
12331111	52	35
12331112	52	45
12331113	52	50
12331121	52	44
12331122	52	54
12331123	52	59
12331131	52	50
12331132	52	60
12331133	52	65
12331211	54	42
12331212	54	52
12331213	54	57
12331221	54	51
12331222	54	61
12331223	54	66
12331231	54	57
12331232	54	67
12331233	54	72
12331311	55	47
12331312	55	57
12331313	55	62
12331321	55	56
12331322	55	66
12331323	55	71
12331331	55	62
12331332	55	72
12331333	55	77
12332111	58	71
12332112	58	61
12332113	58	74
12332121	58	62
12332122	58	52
12332123	58	65
12332131	58	76
12332132	58	66
12332133	58	79
12332211	60	64
12332212	60	54
12332213	60	67
12332221	60	55
12332222	60	45
12332223	60	58
12332231	60	69
12332232	60	59
12332233	60	72
12332311	61	79
12332312	61	69
12332313	61	82
12332321	61	70
12332322	61	60
12332323	61	73
12332331	61	84
12332332	61	74
12332333	61	87
12333111	49	71
12333112	49	69
12333113	49	56
12333121	49	70
12333122	49	68
12333123	49	55
12333131	49	56
12333132	49	54
12333133	49	41
12333211	52	74
12333212	52	72
12333213	52	59
12333221	52	73
12333222	52	71
12333223	52	58
12333231	52	59
12333232	52	57
12333233	52	44
12333311	42	59
12333312	42	57
12333313	42	44
12333321	42	58
12333322	42	56
12333323	42	43
12333331	42	44
12333332	42	42
12333333	42	29
13111111	21	14
13111112	21	24
13111113	21	29
13111121	21	23
13111122	21	33
13111123	21	38
13111131	21	29
13111132	21	39
13111133	21	44
13111211	22	21
13111212	22	31
13111213	22	36
13111221	22	30
13111222	22	40
13111223	22	45
13111231	22	36
13111232	22	46
13111233	22	51
13111311	28	26
13111312	28	36
13111313	28	41
13111321	28	35
13111322	28	45
13111323	28	50
13111331	28	41
13111332	28	51
13111333	28	56
13112111	36	74
13112112	36	64
13112113	36	77
13112121	36	65
13112122	36	55
13112123	36	68
13112131	36	79
13112132	36	69
13112133	36	82
13112211	37	67
13112212	37	57
13112213	37	70
13112221	37	58
13112222	37	48
13112223	37	61
13112231	37	72
13112232	37	62
13112233	37	75
13112311	43	82
13112312	43	72
13112313	43	85
13112321	43	73
13112322	43	63
13112323	43	76
13112331	43	87
13112332	43	77
13112333	43	90
13113111	58	86
13113112	58	84
13113113	58	71
13113121	58	85
13113122	58	83
13113123	58	70
13113131	58	71
13113132	58	69
13113133	58	56
13113211	60	89
13113212	60	87
13113213	60	74
13113221	60	88
13113222	60	86
13113223	60	73
13113231	60	74
13113232	60	72
13113233	60	59
13113311	55	74
13113312	55	72
13113313	55	59
13113321	55	73
13113322	55	71
13113323	55	58
13113331	55	59
13113332	55	57
13113333	55	44
13121111	49	26
13121112	49	36
13121113	49	41
13121121	49	35
13121122	49	45
13121123	49	50
13121131	49	41
13121132	49	51
13121133	49	56
13121211	50	33
13121212	50	43
13121213	50	48
13121221	50	42
13121222	50	52
13121223	50	57
13121231	50	48
13121232	50	58
13121233	50	63
13121311	56	38
13121312	56	48
13121313	56	53
13121321	56	47
13121322	56	57
13121323	56	62
13121331	56	53
13121332	56	63
13121333	56	68
13122111	52	62
13122112	52	52
13122113	52	65
13122121	52	53
13122122	52	43
13122123	52	56
13122131	52	67
13122132	52	57
13122133	52	70
13122211	53	55
13122212	53	45
13122213	53	58
13122221	53	46
13122222	53	36
13122223	53	49
13122231	53	60
13122232	53	50
13122233	53	63
13122311	59	70
13122312	59	60
13122313	59	73
13122321	59	61
13122322	59	51
13122323	59	64
13122331	59	75
13122332	59	65
13122333	59	78
13123111	77	86
13123112	77	84
13123113	77	71
13123121	77	85
13123122	77	83
13123123	77	70
13123131	77	71
13123132	77	69
13123133	77	56
13123211	79	89
13123212	79	87
13123213	79	74
13123221	79	88
13123222	79	86
13123223	79	73
13123231	79	74
13123232	79	72
13123233	79	59
13123311	74	74
13123312	74	72
13123313	74	59
13123321	74	73
13123322	74	71
13123323	74	58
13123331	74	59
13123332	74	57
13123333	74	44
13131111	45	27
13131112	45	37
13131113	45	42
13131121	45	36
13131122	45	46
13131123	45	51
13131131	45	42
13131132	45	52
13131133	45	57
13131211	46	34
13131212	46	44
13131213	46	49
13131221	46	43
13131222	46	53
13131223	46	58
13131231	46	49
13131232	46	59
13131233	46	64
13131311	52	39
13131312	52	49
13131313	52	54
13131321	52	48
13131322	52	58
13131323	52	63
13131331	52	54
13131332	52	64
13131333	52	69
13132111	52	75
13132112	52	65
13132113	52	78
13132121	52	66
13132122	52	56
13132123	52	69
13132131	52	80
13132132	52	70
13132133	52	83
13132211	53	68
13132212	53	58
13132213	53	71
13132221	53	59
13132222	53	49
13132223	53	62
13132231	53	73
13132232	53	63
13132233	53	76
13132311	59	83
13132312	59	73
13132313	59	86
13132321	59	74
13132322	59	64
13132323	59	77
13132331	59	88
13132332	59	78
13132333	59	91
13133111	65	73
13133112	65	71
13133113	65	58
13133121	65	72
13133122	65	70
13133123	65	57
13133131	65	58
13133132	65	56
13133133	65	43
13133211	67	76
13133212	67	74
13133213	67	61
13133221	67	75
13133222	67	73
13133223	67	60
13133231	67	61
13133232	67	59
13133233	67	46
13133311	62	61
13133312	62	59
13133313	62	46
13133321	62	60
13133322	62	58
13133323	62	45
13133331	62	46
13133332	62	44
13133333	62	31
13211111	29	20
13211112	29	30
13211113	29	35
13211121	29	29
13211122	29	39
13211123	29	44
13211131	29	35
13211132	29	45
13211133	29	50
13211211	30	27
13211212	30	37
13211213	30	42
13211221	30	36
13211222	30	46
13211223	30	51
13211231	30	42
13211232	30	52
13211233	30	57
13211311	36	32
13211312	36	42
13211313	36	47
13211321	36	41
13211322	36	51
13211323	36	56
13211331	36	47
13211332	36	57
13211333	36	62
13212111	42	68
13212112	42	58
13212113	42	71
13212121	42	59
13212122	42	49
13212123	42	62
13212131	42	73
13212132	42	63
13212133	42	76
13212211	43	61
13212212	43	51
13212213	43	64
13212221	43	52
13212222	43	42
13212223	43	55
13212231	43	66
13212232	43	56
13212233	43	69
13212311	49	76
